2025-06-15 15:44:38 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'0': 5, '2': array([4]), '1': 6, '3': 6, '4': 6, '5': array([0])}
2025-06-15 15:44:38 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [0, 1, 2, 3, 4]
2025-06-15 15:44:38 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:44:38 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 5, 'target': 0, 'role': 0, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:44:38 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 5, 'alive': [0, 1, 2, 3, 4]}
2025-06-15 15:49:20 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:20] "GET /socket.io/?EIO=4&transport=websocket&sid=pj4_7v2afWtb7rV6AAAQ HTTP/1.1" 200 -
2025-06-15 15:49:27 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:27] "GET /socket.io/?EIO=4&transport=polling&t=PToa9MZ HTTP/1.1" 200 -
2025-06-15 15:49:27 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:27] "POST /socket.io/?EIO=4&transport=polling&t=PToa9Mo&sid=_Ak5_OtuxlmWhpUJAAAS HTTP/1.1" 200 -
2025-06-15 15:49:27 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:27] "GET /socket.io/?EIO=4&transport=polling&t=PToa9Mp&sid=_Ak5_OtuxlmWhpUJAAAS HTTP/1.1" 200 -
2025-06-15 15:49:29 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:29] "GET /socket.io/?EIO=4&transport=websocket&sid=_Ak5_OtuxlmWhpUJAAAS HTTP/1.1" 200 -
2025-06-15 15:49:31 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:31] "GET /socket.io/?EIO=4&transport=polling&t=PToaAKi HTTP/1.1" 200 -
2025-06-15 15:49:31 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:31] "POST /socket.io/?EIO=4&transport=polling&t=PToaAKu&sid=jg8xn23yR8zfHBLvAAAU HTTP/1.1" 200 -
2025-06-15 15:49:31 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:31] "GET /socket.io/?EIO=4&transport=polling&t=PToaAKv&sid=jg8xn23yR8zfHBLvAAAU HTTP/1.1" 200 -
2025-06-15 15:49:39 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:39] "GET /socket.io/?EIO=4&transport=websocket&sid=jg8xn23yR8zfHBLvAAAU HTTP/1.1" 200 -
2025-06-15 15:49:40 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:40] "GET /socket.io/?EIO=4&transport=polling&t=PToaCVH HTTP/1.1" 200 -
2025-06-15 15:49:40 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:40] "POST /socket.io/?EIO=4&transport=polling&t=PToaCVT&sid=3qqLkKy5zwQc0f1SAAAW HTTP/1.1" 200 -
2025-06-15 15:49:40 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:49:40] "GET /socket.io/?EIO=4&transport=polling&t=PToaCVU&sid=3qqLkKy5zwQc0f1SAAAW HTTP/1.1" 200 -
2025-06-15 15:49:51 | DEBUG    | human_ai_game:423 | AI狼人3(玩家4) -> 5
2025-06-15 15:49:57 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:49:57 | DEBUG    | __main__:777 | 预言家1  查验 2
2025-06-15 15:49:58 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'0': 1, '3': array([5]), '1': array([2]), '2': 6, '4': 6, '5': 6}
2025-06-15 15:49:58 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [0, 1, 2, 3, 4]
2025-06-15 15:49:58 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:49:58 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 1, 'target': 2, 'role': 1, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:49:58 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 5, 'alive': [0, 1, 2, 3, 4]}
2025-06-15 15:50:05 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=0
2025-06-15 15:50:13 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=1
2025-06-15 15:50:14 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=2
2025-06-15 15:50:15 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=3
2025-06-15 15:50:15 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=4
2025-06-15 15:50:20 | DEBUG    | __main__:1109 | --- 投票动作 ---
2025-06-15 15:50:20 | DEBUG    | __main__:1111 | 玩家0  → 1
2025-06-15 15:50:20 | DEBUG    | __main__:1111 | 玩家1  → 0
2025-06-15 15:50:20 | DEBUG    | __main__:1111 | 玩家2  → 0
2025-06-15 15:50:20 | DEBUG    | __main__:1111 | 玩家3  → 1
2025-06-15 15:50:20 | DEBUG    | __main__:1111 | 玩家4  → 0
2025-06-15 15:50:20 | DEBUG    | __main__:1117 | 票数统计: [3, 2, 0, 0, 0, 0]
2025-06-15 15:50:44 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:50:44] "GET /socket.io/?EIO=4&transport=websocket&sid=3qqLkKy5zwQc0f1SAAAW HTTP/1.1" 200 -
2025-06-15 15:50:46 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:50:46] "GET /socket.io/?EIO=4&transport=polling&t=PToaScd HTTP/1.1" 200 -
2025-06-15 15:50:46 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:50:46] "POST /socket.io/?EIO=4&transport=polling&t=PToaSco&sid=mE7G42Jb8M2_jvYUAAAY HTTP/1.1" 200 -
2025-06-15 15:50:46 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:50:46] "GET /socket.io/?EIO=4&transport=polling&t=PToaScp&sid=mE7G42Jb8M2_jvYUAAAY HTTP/1.1" 200 -
2025-06-15 16:43:19 | INFO     | werkzeug:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
